ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__cycles_elapsed.avg,cycle,"16,460.24"
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__cycles_elapsed.avg.per_second,cycle/second,"1,064,974,168.01"
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__inst_executed_pipe_tensor.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,inst,0
3,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:44,1,7,Command line profiler metrics,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,51.07
4,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:45,1,7,Command line profiler metrics,dram__bytes.sum,byte,"2,150,528"
4,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:45,1,7,Command line profiler metrics,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,31.34
4,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:45,1,7,Command line profiler metrics,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,10.28
4,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:45,1,7,Command line profiler metrics,gpu__time_duration.sum,nsecond,"10,944"
4,15400,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, float>(int, float const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*)",2022-Nov-19 20:47:45,1,7,Command line profiler metrics,l1tex__t_bytes.sum,byte,"8,601,600"
